id	audio	n_frames	tgt_text	src_text
			Aber es gibt ein paar Dinge, die ich sagen kann.	but here are a couple things i can say.
			Und 150 Grossmütter wurden in Sierra Leoneausgebildet.	and 150 grandmothers have been trained in sierra leone.
			Das Zugänglichmachen der Daten ist eines davon, aber noch wichtiger ist es, viele neue Möglichkeiten der Teilnahme zu schaffen und zu moderieren.	obviously opening up the data is one, but the important thing is to create lots more — create and curate — lots more participatory opportunities.
			Ich denke, wenn wir uns gegenseitig eingestehen können, dass wir alle versuchen, uns der Wahrheit über unsere Gesellschaft anzunähern, können daraus viel nuanciertere und viel interessantere Dialoge entstehen.	and i think if we can just admit that we're all trying to approximate the truth of our own communities, it will make for a much more nuanced and a much more interesting conversation.
			Je weiter rechts, desto mehr.	further to the right is more.
			Die Antwort ist: Nein.	and the answer is no.
			Vor zwei Jahren wurde ich eingeladen, an einer Ausstellung zu 100 Jahren Islamischer Kunst in Europa als Künstlerin teilzunehmen.	two years ago, i was invited as an artist to participate in an exhibition commemorating 100 years of islamic art in europe.
			Trotz der guten Idee ohne sich bewegende Teile - es konnten hohe Temperaturen erreicht werden - war es nicht genug.	so even this, although it was great with no moving parts — we could achieve high temperatures — wasn't enough.
			Also fragte ich mich vor ein paar Jahren "Können wir das weiter voranbringen und andere Krebsarten behandeln, vielleicht sogar in anderen Lebewesen?" Hier ist also ein neun Jahre alter Boxer namens Milo, der einen sehr agressiven Tumor hatte genannt ein malignes Neurofibrom, das auf der Schulter wuchs.	so a few years ago, i asked myself, "can we take this one step further and treat other cancers, even in other species?" so here is a nine year-old boxer named milo, who had a very aggressive tumor called a malignant neurofibroma growing on his shoulder.
			Kommt es Ihnen grün und angenehm vor?	does it seem green and friendly?
			Danke.	thank you.
			Wir waren nicht fokusiert, wir haben nicht getan, was wir hätten tun sollen und jetzt droht die Hölle auf Erden. Danke.	we've not been focused, we've not done what we had to do, and now we're facing the potential of bad, hell on earth. thank you.
			Es ist eine Feuerwalze oder ein Manteltier.	it's called a pyrosome or colonial tunicate, if you like.
			Ihre Körper sind wunderbar, so wie sie sind.	you bodies are wonderful as they are.
			Sie wird im Golf von Guinea verübt.	it's active in the gulf of guinea.
			Wir haben einen Bogen im Fuß, der wie eine Feder wirkt, kleine Zehen, mit denen man sich besser abstößt als nach Ästen zu greifen, und wenn wir rennen, drehen wir Oberkörper und Schultern, während der Kopf gerade bleibt.	we have an arch in our foot that acts like a spring, short toes that are better for pushing off than for grasping tree limbs, and when we run, we can turn our torso and our shoulders like this while keeping our heads straight.
			Eines der coolsten Sachen ist, "Makerbot" verschickte ein Upgrade, ein paar neue Bausteine für die Box.	one of the coolest things is, makerbot sent out an upgrade, some new brackets for the box.
			Es beweist, dass Computer zuhören und verstehen können.	it shows that computers can listen and understand.
			Lassen Sie es mich zu Protokoll geben und sagen, Verletzlichkeit ist der Geburtsort von Innovation, Kreativität und Veränderung. (Applaus) Erschaffen heißt, etwas zu machen, das nie zuvor existierte.	(laughter) so let me go on the record and say, vulnerability is the birthplace of innovation, creativity and change. (applause) to create is to make something that has never existed before.
			Die Offenbarung vom 11. September ist, dass selbst die mächtigste Nation der Erde, trotz allem von denjenigen, die diesen Raum bevölkern, angegriffen werden kann, selbst in der symbolträchtigsten Stadt an einem klaren Septembermorgen.	the revelation of 9 / 11 is that even if you are the most powerful nation on earth, nevertheless, those who inhabit that space can attack you even in your most iconic of cities one bright september morning.
			Also, würde man zum dem selben Publikum gehen und sagen: "Ich möchte Ihnen einen Vortrag halten über Recht und Unrecht." würden die sagen: "Danke sehr, aber wir haben anderes zu tun." Und DAS ist die erstaunliche Kraft der Kunst.	now, if i were to go into the same crowd and say, "i want to lecture you about justice and injustice," they would say, "thank you very much, we have other things to do." and that is the astonishing power of art.
			Menschen im Radio, vor allem auf NPR, sind sich bewusst, dass sie aufgenommen werden. Sie sind daher vorsichtiger damit, sich als Experte für etwas auszugeben, oder zu behaupten, etwas 100% -ig zu wissen. Tun Sie das. Gehen Sie auf Nummer sicher.	now, people on the radio, especially on npr, are much more aware that they're going on the record, and so they're more careful about what they claim to be an expert in and what they claim to know for sure. do that. err on the side of caution.
			Er geht hin und trifft den Gouverneur.	he goes and sees the governor.
			Der Kurs dauerte also 10 Wochen, und am Ende hatte die Hälfte der 160.000 Studenten zumindest ein Video pro Woche angesehen. Über 20.000 machten alle Hausübungen, was 50 bis 100 Stunden Arbeit bedeutete.	now, the class ran 10 weeks, and in the end, about half of the 160,000 students watched at least one video each week, and over 20,000 finished all the homework, putting in 50 to 100 hours.
			Und ihr müsst vorbei kommen und es anschauen - es wird eine wahnsinnige Story.	and you ought to come and see it — it's going to be a hell of a story.
			Eine weitere Aussage von Esther war, dass wir reagieren, wenn es zu einer Tragödie wie Haiti kommt, aber dies ist eine andauerndeTragödie.	another comment of esther's was that we react when there's a tragedy like haiti, but that tragedy is ongoing.
			Aber vielleicht ist dies das ultimative Geschenk des Feminismus, dass das Persönliche tatsächlich politisch ist.	and perhaps this is the ultimate gift of feminism, that the personal is in fact the political.
			Im Gespräch mit Colum McCann an jenem Tag fiel endlich der Groschen. "Alle Erfahrung ist lokal," sagte er. "Jede Identität ist Erfahrung", dachte ich. "Ich gehöre keiner Nation an", verkündete ich auf der Bühne. "Ich bin einem und zugleich vielen Orten verbunden."	speaking with colum mccann that day, the penny finally dropped. "all experience is local," he said. "all identity is experience," i thought. "i'm not a national," i proclaimed onstage. "i'm a local.
